#Onset,Duration,Annotation
2002-02-05T02:56:23.0000000,30,???
2002-02-05T02:56:53.0000000,30,???
2002-02-05T02:57:23.0000000,30,???
2002-02-05T02:57:53.0000000,30,???
2002-02-05T02:58:23.0000000,30,???
2002-02-05T02:58:53.0000000,30,???
2002-02-05T02:59:23.0000000,30,???
2002-02-05T02:59:53.0000000,30,???
2002-02-05T03:00:23.0000000,30,???
2002-02-05T03:00:53.0000000,30,???
2002-02-05T03:01:23.0000000,30,???
2002-02-05T03:01:53.0000000,30,???
2002-02-05T03:02:23.0000000,30,???
2002-02-05T03:02:53.0000000,30,???
2002-02-05T03:03:23.0000000,30,???
2002-02-05T03:03:53.0000000,30,???
2002-02-05T03:04:23.0000000,30,???
2002-02-05T03:04:53.0000000,30,???
2002-02-05T03:05:23.0000000,30,???
2002-02-05T03:05:53.0000000,30,???
2002-02-05T03:06:23.0000000,30,???
2002-02-05T03:06:53.0000000,30,???
2002-02-05T03:07:23.0000000,30,???
2002-02-05T03:07:53.0000000,30,???
2002-02-05T03:08:23.0000000,30,???
2002-02-05T03:08:53.0000000,30,???
2002-02-05T03:09:23.0000000,30,???
2002-02-05T03:09:53.0000000,30,???
2002-02-05T03:10:23.0000000,30,???
2002-02-05T03:10:53.0000000,30,???
2002-02-05T03:11:23.0000000,30,???
2002-02-05T03:11:53.0000000,30,???
2002-02-05T03:12:23.0000000,30,???
2002-02-05T03:12:53.0000000,30,???
2002-02-05T03:13:23.0000000,30,???
2002-02-05T03:13:53.0000000,30,???
2002-02-05T03:14:23.0000000,30,???
2002-02-05T03:14:53.0000000,30,???
2002-02-05T03:15:23.0000000,30,???
2002-02-05T03:15:53.0000000,30,???
2002-02-05T03:16:23.0000000,30,???
2002-02-05T03:16:53.0000000,30,???
2002-02-05T03:17:23.0000000,30,???
2002-02-05T03:17:53.0000000,30,???
2002-02-05T03:18:23.0000000,30,???
2002-02-05T03:18:53.0000000,30,???
2002-02-05T03:19:23.0000000,30,???
2002-02-05T03:19:53.0000000,30,???
2002-02-05T03:20:23.0000000,30,???
2002-02-05T03:20:53.0000000,30,???
2002-02-05T03:21:23.0000000,30,???
2002-02-05T03:21:53.0000000,30,???
2002-02-05T03:22:23.0000000,30,???
2002-02-05T03:22:53.0000000,30,???
2002-02-05T03:23:23.0000000,30,???
2002-02-05T03:23:53.0000000,30,???
2002-02-05T03:24:23.0000000,30,???
2002-02-05T03:24:53.0000000,30,???
2002-02-05T03:25:23.0000000,30,???
2002-02-05T03:25:53.0000000,30,???
2002-02-05T03:26:23.0000000,30,???
2002-02-05T03:26:53.0000000,30,???
2002-02-05T03:27:23.0000000,30,???
2002-02-05T03:27:53.0000000,30,???
2002-02-05T03:28:23.0000000,30,???
2002-02-05T03:28:53.0000000,30,???
2002-02-05T03:29:23.0000000,30,???
2002-02-05T03:29:53.0000000,30,???
2002-02-05T03:30:23.0000000,30,???
2002-02-05T03:30:53.0000000,30,???
2002-02-05T03:31:23.0000000,30,???
2002-02-05T03:31:53.0000000,30,???
2002-02-05T03:32:23.0000000,30,???
2002-02-05T03:32:53.0000000,30,???
2002-02-05T03:33:23.0000000,30,???
